"","Title","Revenue","logRev","N_Theaters","logThea","Release_Date","Inception","No_Article","Views60","Users60","Rigor60","Edits60","Views50","Users50","Rigor50","Edits50","Views40","Users40","Rigor40","Edits40","Views30","Users30","Rigor30","Edits30","Views20","Users20","Rigor20","Edits20","Views10","Users10","Rigor10","Edits10","lV60","lU60","lR60","lE60","ldV50","ldU50","ldR50","ldE50","ldV40","ldU40","ldR40","ldE40","ldV30","ldU30","ldR30","ldE30","ldV20","ldU20","ldR20","ldE20","ldV10","ldU10","ldR10","ldE10","Wide_Release","is_sequel","is_3D_or_IMAX","Fri_Sat","in_Summer","Federal_Holiday","N_Other_Rel"
"1","127 Hours",264851,12.4869226826877,4,1.38629436111989,2010-11-05,340,0,212378,48,52,68,257832,60,69,86,301779,73,81,100,326587,77,89,117,385538,100,107,138,428661,111,126,164,12.2661276934055,3.89182029811063,3.97029191355212,4.23410650459726,10.724478104556,2.56494935746154,2.89037175789616,2.94443897916644,10.6907623958208,2.63905732961526,2.56494935746154,2.70805020110221,10.1189617695454,1.6094379124341,2.19722457733622,2.89037175789616,10.9844788324468,3.17805383034795,2.94443897916644,3.09104245335832,10.671834965659,2.484906649788,2.99573227355399,3.29583686600433,0,0,0,1,0,0,9
"2","2012 Time for Change",9009,9.10597935665144,1,0,2010-04-09,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,1,1,8,539,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93753620508243,0.693147180559945,0.693147180559945,2.19722457733622,5.08759633523238,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0,1,0,0,6
"3","44 Inch Chest",4185,8.33926198292358,1,0,2010-01-15,510,0,76673,18,19,27,78059,18,19,27,81128,22,22,32,83258,22,22,32,86551,22,23,34,90287,25,27,43,11.2473179468368,2.94443897916644,2.99573227355399,3.3322045101752,7.23489842031483,0,0,0,8.02943284058124,1.6094379124341,1.38629436111989,1.79175946922805,7.66434663209862,0,0,0,8.09985791073758,0,0.693147180559945,1.09861228866811,8.22603842948548,1.38629436111989,1.6094379124341,2.30258509299405,0,0,0,1,0,0,4
"4","45365",107,4.67282883446191,1,0,2010-02-26,-9,1,249,0,0,0,256,0,0,0,265,0,0,0,274,0,0,0,283,0,0,0,298,0,0,0,5.52146091786225,0,0,0,2.07944154167984,0,0,0,2.30258509299405,0,0,0,2.30258509299405,0,0,0,2.30258509299405,0,0,0,2.77258872223978,0,0,0,0,0,0,1,0,0,5
"5","71 Into the Fire",77161,11.2536494270186,20,2.99573227355399,2010-07-30,62,0,258,2,2,4,1577,3,3,5,2419,3,3,5,3757,4,4,6,4836,5,5,7,5990,5,5,7,5.55682806169954,1.09861228866811,1.09861228866811,1.6094379124341,7.18538701558042,0.693147180559945,0.693147180559945,0.693147180559945,6.73696695800186,0,0,0,7.19967834569117,0.693147180559945,0.693147180559945,0.693147180559945,6.98471632011827,0.693147180559945,0.693147180559945,0.693147180559945,7.05185562295589,0,0,0,0,0,0,1,1,0,7
"6","8 The Mormon Proposition",42566,10.6588110915227,16,2.77258872223978,2010-06-18,51,0,3,0,0,0,168,4,4,5,1237,7,9,29,2058,7,9,29,2863,8,10,31,3813,13,13,39,1.38629436111989,0,0,0,5.11198778835654,1.6094379124341,1.6094379124341,1.79175946922805,6.97541392745595,1.38629436111989,1.79175946922805,3.2188758248682,6.71174039505618,0,0,0,6.69208374250663,0.693147180559945,0.693147180559945,1.09861228866811,6.85751406254539,1.79175946922805,1.38629436111989,2.19722457733622,0,0,0,1,1,0,4
"7","A Film Unfinished",34060,10.4358789542167,4,1.38629436111989,2010-08-18,14,0,15,0,0,0,20,0,0,0,33,0,0,0,36,0,0,0,36,0,0,0,243,2,2,8,2.77258872223978,0,0,0,1.79175946922805,0,0,0,2.63905732961526,0,0,0,1.38629436111989,0,0,0,0,0,0,0,5.33753807970132,1.09861228866811,1.09861228866811,2.19722457733622,0,0,0,0,1,0,1
"8","After.Life",59946,11.0011994359611,41,3.71357206670431,2010-04-09,526,0,215295,27,33,47,217905,28,34,48,220777,28,36,55,227549,30,41,61,232118,30,41,61,236209,30,43,67,12.2797691044525,3.3322045101752,3.52636052461616,3.87120101090789,7.86748856869913,0.693147180559945,0.693147180559945,0.693147180559945,7.96311205897929,0,1.09861228866811,2.07944154167984,8.8206993992149,1.09861228866811,1.79175946922805,1.94591014905531,8.42726848388825,0,0,0,8.31678912707152,0,1.09861228866811,1.94591014905531,0,0,0,1,0,0,6
"9","Aftershock",19329,9.86936183780675,25,3.2188758248682,2010-10-29,114,0,20477,20,22,32,23983,26,25,35,28343,26,25,35,33575,25,26,36,37409,28,29,39,41312,26,30,40,9.92710641813476,3.04452243772342,3.13549421592915,3.49650756146648,8.16251625014018,1.94591014905531,1.38629436111989,1.38629436111989,8.38045666784277,0,0,0,8.56274000637221,0,0.693147180559945,0.693147180559945,8.25192471380136,1.38629436111989,1.38629436111989,1.38629436111989,8.26975694753298,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0,4
"10","Alice in Wonderland",116101023,18.5699712579988,3728,8.22362717580548,2010-03-05,826,0,3649995,506,795,1069,3774462,535,838,1120,3891534,573,915,1225,4040563,598,956,1271,4217127,656,1039,1382,4501189,711,1117,1486,15.1102366296677,6.22851100359118,6.67959918584438,6.97541392745595,11.7318039337371,3.40119738166216,3.78418963391826,3.95124371858143,11.6705529508394,3.66356164612965,4.35670882668959,4.66343909411207,11.9119029069428,3.25809653802148,3.73766961828337,3.85014760171006,12.0814443595147,4.07753744390572,4.43081679884331,4.71849887129509,12.5569513235284,4.02535169073515,4.36944785246702,4.65396035015752,1,0,1,1,0,0,2
"11","All About Evil",5070,8.53109609658523,1,0,2010-07-09,30,0,1915,0,0,0,1970,0,0,0,2024,0,0,0,2124,1,1,7,2675,2,2,8,3353,2,2,8,7.55799495853081,0,0,0,4.02535169073515,0,0,0,4.00733318523247,0,0,0,4.61512051684126,0.693147180559945,0.693147180559945,2.07944154167984,6.31354804627709,0.693147180559945,0.693147180559945,0.693147180559945,6.5206211275587,0,0,0,0,0,0,1,1,0,4
"12","All Good Things",37172,10.5233110686772,2,0.693147180559945,2010-12-03,902,0,222860,83,85,175,230741,83,90,182,254341,92,99,196,265721,102,104,202,284769,104,106,204,309065,104,107,205,12.3143035377129,4.43081679884331,4.45434729625351,5.17048399503815,8.97233695775495,0,1.79175946922805,2.07944154167984,10.0690443629974,2.30258509299405,2.30258509299405,2.70805020110221,9.33970057728189,2.39789527279837,1.79175946922805,1.94591014905531,9.8547698857387,1.09861228866811,1.09861228866811,1.09861228866811,10.0981081649171,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0,5
"13","Alpha and Omega",9106906,16.0245435847661,2625,7.87283617502572,2010-09-17,512,0,278178,105,140,203,293081,132,162,231,309996,123,165,238,327933,143,175,253,352386,141,184,264,383129,150,203,304,12.5360200703599,4.66343909411207,4.94875989037817,5.31811999384422,9.60938491228142,3.3322045101752,3.13549421592915,3.36729582998647,9.73601519859238,0,1.38629436111989,2.07944154167984,9.79467664667795,3.04452243772342,2.39789527279837,2.77258872223978,10.1045490807041,0,2.30258509299405,2.484906649788,10.3334501322447,2.30258509299405,2.99573227355399,3.71357206670431,1,0,1,1,0,0,6
"14","And Everything Is Going Fine",7035,8.85865296954849,1,0,2010-12-10,269,0,23597,5,6,11,24688,5,6,11,25767,8,9,17,26864,8,9,17,28089,8,9,17,29446,8,10,18,10.0689172416599,1.79175946922805,1.94591014905531,2.484906649788,6.99576615630485,0,0,0,6.98471632011827,1.38629436111989,1.38629436111989,1.94591014905531,7.00124562206948,0,0,0,7.11151211649616,0,0,0,7.21376830811864,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0,6
"15","A Nightmare on Elm Street",32902299,17.3090530917137,3332,8.11132800328673,2010-04-30,635,0,1215517,247,503,729,1282739,267,518,752,1334320,271,537,775,1388175,275,558,800,1477538,293,586,832,1593887,320,633,890,14.0106808813494,5.51342874616498,6.22257626807137,6.59304453414244,11.1157707298578,3.04452243772342,2.77258872223978,3.17805383034795,10.8509280534025,1.6094379124341,2.99573227355399,3.17805383034795,10.8940690969905,1.6094379124341,3.09104245335832,3.25809653802148,11.4004731954986,2.94443897916644,3.36729582998647,3.49650756146648,11.6643581687304,3.3322045101752,3.87120101090789,4.07753744390572,1,0,0,1,0,0,4
"16","Animal Kingdom",61968,11.0343734017545,7,1.94591014905531,2010-08-13,170,0,19585,21,21,40,22933,22,22,41,26021,25,26,49,27735,31,32,57,31209,34,35,64,35189,34,36,65,9.88257030428074,3.09104245335832,3.09104245335832,3.71357206670431,8.1164170727942,0.693147180559945,0.693147180559945,0.693147180559945,8.03560269291858,1.38629436111989,1.6094379124341,2.19722457733622,7.44716835960004,1.94591014905531,1.94591014905531,2.19722457733622,8.15334975799889,1.38629436111989,1.38629436111989,2.07944154167984,8.28928832300032,0,0.693147180559945,0.693147180559945,0,0,0,1,1,0,6
"17","Anjaana Anjaani",517608,13.1569734779999,91,4.51085950651685,2010-10-01,367,0,158300,77,71,125,179405,102,95,168,210146,124,120,214,241529,135,145,242,268200,147,158,260,307262,174,198,308,11.9722535629685,4.35670882668959,4.27666611901606,4.83628190695148,9.95731263923104,3.25809653802148,3.2188758248682,3.78418963391826,10.3333850767849,3.13549421592915,3.25809653802148,3.85014760171006,10.3540534878894,2.484906649788,3.25809653802148,3.36729582998647,10.1913696049906,2.56494935746154,2.63905732961526,2.94443897916644,10.5729310063968,3.3322045101752,3.71357206670431,3.89182029811063,0,0,0,1,0,0,8
